RacaID,lat,long,upedonid,rcasiteid,SOCstock5,SOCstock30,SOCstock100
C0812R07,31.7,-110.34,RaCA11AZBS036,C0812R07,3.11482193246662,24.2815480073394,59.7067303977671
C0806R11,34.6,-110.34,RaCA11AZMC0116,C0806R11,1.89509875184913,11.6169901366865,25.1659420774896
C0412X01,47.3,-110.33,C0412X01X,C0412X01,19.3066394731432,80.6864606945371,187.701714388853
C0605F08,39.61,-110.33,2011UT007031,C0605F08,5.17360110244106,40.5277552851145,42.1790113875774
C0605R05,39.78,-110.32,2011UT007041,C0605R05,8.68841653953924,47.8129372660253,56.798585835657
C0606R10,38.9,-110.32,2011UT0150116,C0606R10,0.459155861014452,2.38375600781814,NA
C0405C04,47.1,-110.3,C0405C04X,C0405C04,22.3585958582895,96.1596802845829,187.60614916157
C0405C05,46.56,-110.28,C0405C05X,C0405C05,26.183654396058,131.275758332313,NA
C0804R14,33.15,-110.26,RaCA11AZMC0021,C0804R14,3.64660783116926,14.0841154495566,14.0841154495566
C0408C04,47.23,-110.26,C0408C04X,C0408C04,10.222107701824,55.7858617680761,133.017561261918
C0411R05,47.18,-110.26,C0411R05X,C0411R05,17.1478419457837,72.0179737494674,182.497470643081
C0813R05,34.71,-110.25,RaCA10AZDW0016,C0813R05,1.44360137401129,7.37548101565524,7.37548101565524
C0810R05,31.94,-110.25,RaCA11AZBS006,C0810R05,2.31896880040551,12.6282673553646,51.2570543976325
C0811F02,33.48,-110.24,RaCA11AZGA0016,C0811F02,4.65758507091147,31.9535230714476,46.2864387953958
C0402P01,45.75,-110.23,C0402P01X,C0402P01,11.9109858445568,32.6196838503549,40.1321295685921
C0402F02,45.74,-110.23,C0402F02X,C0402F02,22.4214877676009,102.09262055296,150.397501580929
C0807R10,34.9,-110.23,RaCA11AZHH041,C0807R10,1.63038869139294,37.837983205628,93.2186861972655
C0811R04,32.23,-110.22,RaCA11AZBS116,C0811R04,4.09101957030217,19.1996201536057,19.1996201536057
C0412X04,46.47,-110.2,C0412X04X,C0412X04,6.17791961659517,39.3871773385961,81.636345302512
C0813R08,34.86,-110.18,RaCA10AZDW0021,C0813R08,0.629038941032359,1.19700140513672,1.19700140513672
C0601R05,39.04,-110.18,2011UT015041,C0601R05,1.37600832447592,15.6424402152662,24.4111130768226
C0814R15,34.92,-110.17,RaCA10AZDW0026,C0814R15,0.737979655355793,4.88790409806287,12.8485960407484
C0411X01,47.15,-110.16,C0411X01X,C0411X01,12.0701064409725,60.510719811177,120.285961749047
C0409W05,43.14,-110.16,C0409W05X,C0409W05,102.848381987172,579.769963958997,1530.75245538609
C0804R11,38.47,-110.16,RacA11UTKC0161,C0804R11,0.72810239751639,3.04538314576007,11.5830169962111
C0401P01,46.9,-110.15,C0401P01X,C0401P01,16.9123434065447,84.2584119186809,152.629250574284
C0805F03,36.57,-110.15,RaCA11AZHH016,C0805F03,3.47176521594947,18.0179695117177,74.2249861659555
C0411X02,47.34,-110.14,C0411X02X,C0411X02,14.0546909221842,58.6211776870947,135.18947189077
C0804R06,34.75,-110.14,RaCA11AZKM0016,C0804R06,2.06333284274372,13.3951203271725,34.370286704486
C0404P01,47.26,-110.13,C0404P01X,C0404P01,32.8225664971621,116.060014834334,156.230139454179
C0411P01,46.06,-110.13,C0411P01X,C0411P01,25.8186387215387,88.1612554551656,152.075025022668
C0806P86,31.4,-110.12,RaCA11AZJW056,C0806P86,2.48013285914385,11.7071937441867,30.428973136929
C0813R02,34.57,-110.12,RaCA10AZDW011,C0813R02,4.80618447895785,11.3919370105917,11.3919370105917
C0805R12,36.8,-110.11,RaCA11AZHH011,C0805R12,1.46434645621799,6.43879650484027,20.6871049326847
C0805P02,34.49,-110.09,RaCA11AZMC0096,C0805P02,21.3680026943488,57.7858637391585,124.080418849857
C0806P05,34.48,-110.08,RaCA11AZMC101,C0806P05,27.6459515975966,91.8535241975588,119.57861336251
C0712W10,48.17,-110.08,C0712W10-1,C0712W10,63.3455675977182,198.948995401852,240.947843765131
C0807P06,34.43,-110.08,RaCA11AZMC0121,C0807P06,14.5055456739901,40.2737159324638,65.9133669816651
C0411X03,47.6,-110.08,C0411X03X,C0411X03,10.2053578018278,40.4782164874774,64.0049998747036
F0601R05,38.93,-110.05,2011UT019006,F0601R05,8.68651816845596,12.3416077236423,12.3416077236423
C0811R09,32.3,-110.03,RaCA11AZKC211,C0811R09,2.24166176020568,4.93165587245249,4.93165587245249
C0705C22,48.53,-110.02,C0705C22-1,C0705C22,12.6531199795768,38.7079167132686,83.8918276910779
C0702R04,46.19,-109.99,C0702R04-1,C0702R04,14.3646962636831,68.1704391850109,68.1704391850109
C0807C06,33.06,-109.97,nan,nan,nan,nan,nan
C0806R23,35.58,-109.97,RaCA11AZMC0056,C0806R23,3.38115890136514,17.5217690020288,45.3144468147158
C0607W04,40.27,-109.96,2011UT047026,C0607W04,4.08969719838467,14.0342095964148,28.0898799822934
C0806C12,32.49,-109.94,RaCA11AZBS001,C0806C12,3.98233199594664,16.2581175419663,NA
C0608P02,41.02,-109.94,2011WY037011,C0608P02,103.906208039533,331.115057302452,396.43129900114
C0403P54,47.22,-109.94,C0403P54X,C0403P54,14.2894346931131,55.970906977649,90.5388405409516
C0606P04,40.36,-109.93,2011UT047016,C0606P04,16.4416557577337,45.8359928684299,58.0841973508197
F0609R04,39.12,-109.93,2011UT019036,F0609R04,2.1905649555132,8.30165358435781,11.2868450084191
C0806C05,32.09,-109.92,RaCA11AZJW031,C0806C05,3.66134479039878,23.6897823935793,56.846122893215
C0412W02,46.78,-109.92,C0412W02X,C0412W02,27.6173199003405,153.927015801926,250.981396553878
C0806R18,31.64,-109.91,RaCA11AZBS111,C0806R18,2.04851422066858,23.3469275808304,62.7489001603915
C0606P01,40.28,-109.9,2011UT047011,C0606P01,3.22635535705349,12.9674194424266,16.9987550361117
C0807C01,32.95,-109.89,RaCA11AZCP006,C0807C01,4.59798935306765,24.8272585623389,66.6493331304021
C0814R18,36.81,-109.89,RaCA11AZHH026,C0814R18,0.869485785526803,3.92310685556881,8.20519859109531
C0401P99,46.1,-109.88,C0401P99X,C0401P99,8.71727559006902,56.4800969579811,74.61428552015
C0401C07,46.03,-109.88,C0401C07X,C0401C07,12.4734534070258,57.5258835916917,121.4676511184
C0608R11,40.98,-109.88,2011UT009001,C0608R11,7.2552646528379,39.6873282700329,50.9222305652935
C0608R03,41.05,-109.88,2011WY037006,C0608R03,1.73384183966148,15.2289853710731,26.158490304534
C0608W04,40.42,-109.87,2011UT047006,C0608W04,50.9675125006273,93.5582494795404,115.847045975549
C0810F04,33.71,-109.87,RaCA11AZGA0036,C0810F04,5.37415488518484,29.5462242368227,73.0198479074515
C0806C84,32.01,-109.86,RaCA11AZJW051,C0806C84,6.37257111413996,63.6364517402036,155.856873703888
C0806R06,35.71,-109.86,RaCA11AZGA0066,C0806R06,5.27590223207512,26.9985625066155,74.1453575016537
C0807R55,32.84,-109.85,RaCA11AZKC001,C0807R55,1.54268007994278,5.76277630185705,9.42503300980955
C0812R08,35.51,-109.85,RaCA11AZLG0001,C0812R08,2.03943291849085,5.53345584230514,17.100794878054
C0804F04,38.56,-109.84,RaCA11UTKC0166,C0804F04,1.15635468908532,3.30315958635749,3.30315958635749
C0803F02,33.74,-109.83,RaCA11AZGA0041,C0803F02,13.716913679467,67.2428151702812,69.3838512299138
C0809R05,32,-109.83,RaCA11AZBS021,C0809R05,9.65988748408737,53.0798289555456,102.729165446895
C0804R03,33,-109.82,RaCA11AZCP001,C0804R03,2.54717212968608,8.24865416142628,8.24865416142628
C0606W03,40.37,-109.8,2011UT047021,C0606W03,38.5053758187843,52.6211641755135,70.5647167013395
C0608P03,40.99,-109.79,2011UT009021,C0608P03,66.1639844417087,77.5176562710457,116.263775076347
F0608R04,42.41,-109.77,2011WY035001,F0608R04,3.72175696421305,22.8138522841195,67.8018503270313
C0807C02,32.89,-109.77,RaCA11AZKC011,C0807C02,4.48343174177312,26.5571390375472,64.9677925095604
C0701F07,45.87,-109.77,C0701F07-1,C0701F07,6.35106087942788,32.932944666053,32.932944666053
C0701R08,45.95,-109.75,C0701R08-1,C0701R08,2.26118526165151,4.07013347097272,4.07013347097272
F0609F01,39,-109.75,2011UT019011,F0609F01,2.38657363797801,NA,NA
C0803F03,34.05,-109.74,RaCA11AZGA0046,C0803F03,31.4720964155693,123.856605476966,237.315845726384
C0815R17,33.14,-109.73,RaCA11AZGA0146,C0815R17,5.67963661837984,27.1029798933344,43.9097594019633
C0807C03,32.82,-109.73,RaCA11AZKC026,C0807C03,5.0833308294517,26.8648604616193,63.9695840236658
C0411R10,47.2,-109.72,C0411R10X,C0411R10,21.5104313610458,88.848964112382,154.848704359625
F0609R01,39.04,-109.72,2011UT019026,F0609R01,5.87621758430673,14.5877925224853,26.7434964765049
C0806R14,32.86,-109.71,RaCA11AZBS056,C0806R14,1.06189984273307,5.44008214377031,17.6894819437918
C0807C07,32.82,-109.7,RaCA11AZBS046,C0807C07,4.80514063472018,28.5222648315078,93.3447791224976
C0601R11,40.94,-109.7,2011UT009016,C0601R11,1.65339154902564,6.28288788629744,6.28288788629744
C0802R55,32.84,-109.68,RaCA11AZKC021,C0802R55,0.2481238232693,0.36420127155042,0.457063230175316
C0806R09,35.68,-109.68,RaCA11AZDW0076,C0806R09,2.05774526063089,4.56269124531972,12.7532562691357
C0802R66,32.83,-109.68,RaCA11AZKC016,C0802R66,1.80163527674784,2.37573358040812,29.7764931469271
C0411R11,48.36,-109.66,C0411R11X,C0411R11,23.6466069206947,96.8003465979735,164.174983309141
C0807C05,32.8,-109.66,RaCA11AZBS051,C0807C05,4.1877983721357,18.9136549376215,48.163728415234
C0806R22,32.84,-109.65,RaCA11AZCP021,C0806R22,0.778414395409617,5.03700825021442,29.9944908880472
C0702R02,46.05,-109.64,C0702R02-1,C0702R02,22.3007935273588,86.6516793996772,1661.66439527344
C0810R08,31.45,-109.62,RaCA11AZBS151,C0810R08,4.81517362397324,30.0733071337426,84.0865586010926
C0812C02,36.71,-109.61,RaCA11AZHH021,C0812C02,2.92853342350873,18.3235120887864,37.1295775885101
C0806F02,37.29,-109.58,RaCA11UTKC0001,C0806F02,0.0818869609921276,8.28073917183322,9.24842017831122
